time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
34.055,151.619174978173,-18.4305407954491,-14.5566356029637,-87.1512591191212,32.0449013470854,41.4651901549804,165.905312412225,-23.491502456283,1.23243164434317,-106.570045375735,38.9485891485991,38.3957904940376
34.06,154.001023937955,-18.4225571378201,-15.6335323368768,-87.6435662002855,33.3282511628103,42.3183970493537,169.042403223705,-24.7635400147219,-0.702988796258237,-107.929881597521,40.5383171315603,42.0413273769194
34.065,156.565065668382,-18.5307993843329,-16.5151708849067,-88.4337290337472,34.6414677341845,43.0514932653587,172.182210198324,-26.01459838487,-2.73583303190057,-109.316620955366,42.1292265222485,45.7770233662572
34.07,159.294846995999,-18.7691569536414,-17.2129910382003,-89.5217713611438,35.9787776860166,43.6811796995348,175.309907410896,-27.237422365604,-4.85473701081148,-110.730416828261,43.7083779213515,49.597656692466
34.075,162.16837797212,-19.1506723997995,-17.7429929845701,-90.902403993482,37.3341214188011,44.2268257799127,178.408117665578,-28.4254206015696,-7.04808142751927,-112.169964974995,45.2617554541783,53.4972711650608
34.08,165.158478558946,-19.687266525021,-18.125283921692,-92.5651499664673,38.7011746355089,44.7098961466937,181.457099472101,-29.5727748324681,-9.3041598810855,-113.63241749424,46.7744245401311,57.4690069693143
34.085,168.23326710757,-20.3894640486142,-18.3835093407322,-94.4945736456873,40.0733717071969,45.1533113306106,184.43501927245,-30.6745287789106,-11.6113223924938,-115.113334516415,48.2307248572106,61.5049301175844
34.09,171.356780569013,-21.2661252689844,-18.5441837613227,-96.6706065557429,41.4439327007506,45.5807606750929,187.31830453779,-31.7266539862886,-13.9580914686129,-116.606675104388,49.6144965592943,65.5958694895069
34.095,174.48971251309,-22.3241893610975,-18.6359384985381,-99.0689604016951,42.8058955680452,46.0159868224955,190.082070488787,-32.7260905663422,-16.3332492805361,-118.104827751438,50.9093364682244,69.7312704282638
34.1,177.590251344327,-23.5684350243141,-18.688706310021,-101.661615705925,44.1521544312851,46.4820613847582,192.700610307774,-33.6707614488629,-18.7258958955008,-119.59867972238,52.0988795226963,73.899073328841
34.105,180.614997536823,-25.0012641412614,-18.7328644635526,-104.417372740909,45.4755041754341,47.0006709936848,195.147935725088,-34.5595594529228,-21.1254798383132,-121.077723295401,53.1670992917993,78.0856245494935
34.11,183.519935456578,-26.6225139364024,-18.798358856993,-107.302450078367,46.7686908523101,47.5914319947253,197.398351965669,-35.3923071944151,-23.5218035179618,-122.530195789912,54.0986200380234,82.2756255025509
34.115,186.261432901518,-28.4293028338556,-18.9138322931319,-110.281115209724,48.0244669197177,48.2712509075743,199.427048755942,-36.1696905744595,-25.9050071679173,-123.94324923472,54.8790318956127,86.4521242956511
34.12,188.797240396173,-30.4159147981552,-19.1057798482761,-113.316331419444,49.2356501891864,49.0537465958043,201.210687980755,-36.8931673642961,-28.2655358458628,-125.303144783096,55.4952003863464,90.5965530844428
34.125,191.087462610649,-32.573726377758,-19.3977534764965,-116.370405386027,50.3951854393503,49.9487487567119,202.727968754384,-37.5648532069111,-30.5940946768873,-126.595466538778,55.9355616631665,94.6888133133255
34.13,193.095475675384,-34.8911799558467,-19.8096365993976,-119.405620752434,51.4962077640788,50.9618856084961,203.96015178512,-38.1873881540164,-32.8815979009208,-127.805349264351,56.1903953295079,98.7074099593175
34.135,194.788766125987,-37.353805863721,-20.3570075058088,-122.384844035677,52.5321066959113,52.0942713380052,204.891526460929,-38.7637875915071,-35.1191174164153,-128.91771440861,56.2520672092576,102.629634460342
34.14,196.139669426719,-39.9442950462065,-21.0506079846137,-125.272090634407,53.4965899079112,53.3423009838689,205.50980574816,-39.2972820256968,-37.2978364030176,-129.917508932664,56.1152349398137,106.431794123251
34.145,197.125988605389,-42.6426229086473,-21.8959307918074,-128.033040324572,54.3837449074093,54.6975571593651,205.806435900761,-39.791150693913,-39.4090132611693,-130.789941558156,55.7770097978769,110.089483696353
34.15,197.731476773536,-45.4262238474497,-22.8929363734476,-130.635493491354,55.1880967361406,56.1468296783421,205.776810426285,-40.2485543210567,-41.4439605292605,-131.520711347598,55.2370689057207,113.577892849245
34.155,197.946171368114,-48.2702148197632,-24.0359058306895,-133.049761402961,55.9046594661148,57.6722460997194,205.420380939877,-40.6723725524928,-43.394042642715,-132.096223990042,54.4977130645613,116.872141900736
