time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
35.14,0.00026324963278588,-0,0,-0.000567076718043587,-0,-0,0.000405522200833024,0,-0,0.000391052928440498,-0,0
35.145,0.000157174047605338,-0,0,-0.000415413629432505,-0,-0,0.000368317096810041,0,-0,0.000346684488834377,-0,0
35.15,7.65080003821527e-05,-0,0,-0.000266648155185265,-0,-0,0.000328019830350888,0,-0,0.000284127597589187,-0,0
35.155,2.7593278854353e-05,-0,0,-0.000162275736626417,-0,-0,0.00028549386179067,-0,-0,0.000205519810440522,-0,0
35.16,-2.22314402579474e-05,-0,0,-5.62681343672439e-05,-0,-0,0.00024131361322289,-0,-0,0.000136524693195693,-0,0
35.165,-7.65692917944534e-05,-0,0,4.40746878000343e-05,-0,-0,0.000196109874265853,-0,-0,7.8495910784502e-05,-0,0
35.17,-0.000135430563846585,-0,0,0.000119620901655666,-0,-0,0.000143714465698515,-0,-0,3.27877236037579e-05,-0,0
35.175,-0.000201727749486698,-0,0,0.000173256044159751,-0,-0,8.77594227317266e-05,-0,0,-1.82835781980431e-06,-0,0
35.18,-0.000278063117403743,-0,0,0.000209702190747329,-0,-0,3.17684966652723e-05,-0,0,-2.59116000703997e-05,-0,-0
35.185,-0.000366654159154148,-0,0,0.000228025241340293,-0,-0,-2.45341989571965e-05,-0,0,-3.98710757204696e-05,-0,-0
35.19,-0.000509789805780902,0,0,0.000228792231760943,-0,-0,-8.14177408188357e-05,-0,0,-4.2649626657199e-05,-0,-0
35.195,-0.000671383639427353,0,0,0.000213778980741885,-0,-0,-0.000139385916645289,-0,0,-3.65676049616304e-05,-0,-0
35.2,-0.000850152915099956,0,0,0.000185858938762344,-0,-0,-0.000198766773576942,-0,0,-2.34263465409965e-05,-0,-0
35.205,-0.000976170476470964,0,0,0.000161641200290948,-0,-0,-0.000255293670329527,-0,0,-1.22669342320194e-05,-0,-0
