time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
48.83,0.0111755543707134,0.122207719369151,-0.00387639661797278,-0.0420811012595229,-0.211799906141141,0.0716166496332801,-0.0752197348939665,-0.0297848031385003,0.00356304992792915,-0.0431517648764368,-0.221773730937046,0.0214245842732847
48.835,0.0114200284524809,0.1219370583417,-0.0040647259718512,-0.0407985374291138,-0.21386924734159,0.0717748567659138,-0.0777426482611212,-0.0290994627073146,0.0039130548026405,-0.0441424248215186,-0.222712444003668,0.0215003442458093
48.84,0.0122095305004054,0.121469546777635,-0.00425456446472245,-0.039243255991603,-0.215992106152312,0.0719001412724253,-0.0799206899864853,-0.0278052971338922,0.0042329803182745,-0.0449339046194778,-0.223909644322906,0.0216505664899031
48.845,0.013144539379451,0.120886980515979,-0.00445071851984497,-0.0376168073834611,-0.218139835936757,0.0719992400972853,-0.0820744604637333,-0.0259121244975406,0.00451902897873005,-0.0456628350705146,-0.225357120169977,0.021874320333465
48.85,0.0138022794476373,0.120218559149715,-0.00465690025372102,-0.0361130886736719,-0.220287723380435,0.0720763039760119,-0.0844570565395564,-0.0235103621381758,0.00476865261091903,-0.0464183885581871,-0.227060058096961,0.0221863391007034
48.855,0.0138592097138006,0.11945018160033,-0.00487465086578499,-0.0348660077082306,-0.222427252931296,0.0721403664838463,-0.0871699323896055,-0.0207947071419651,0.0049826424987145,-0.0471894301119322,-0.229024375381197,0.0225674417993435
48.86,0.0131657292629062,0.118550801524463,-0.0051027143681292,-0.033924179148091,-0.224573400837467,0.0722053943671989,-0.0901405965976273,-0.017974161067786,0.00516107632261284,-0.0478802609224629,-0.231285802063314,0.023005140485206
48.865,0.0117741538408605,0.117482180238115,-0.00533798423036973,-0.0332309999964001,-0.226736431266551,0.0722741694152066,-0.0931432645956038,-0.0152526292432518,0.005303212670539,-0.0483117467773815,-0.233878540659033,0.0234800778910436
48.87,0.00986233512748665,0.116243081977886,-0.00557507027640539,-0.0326898315788117,-0.228950194529059,0.0723473990259995,-0.095900750998771,-0.0127925009074842,0.00540770063729236,-0.0482888828562466,-0.236842338531698,0.0239713155608066
48.875,0.00768109321847741,0.114883644792808,-0.00580980694707303,-0.032182344666041,-0.231242340285229,0.0724294647932572,-0.098239816808971,-0.0106550247187389,0.00547154515710661,-0.0476866581430518,-0.240211424741697,0.0244772531153926
48.88,0.00543674900611282,0.113494674425279,-0.00603836181303053,-0.0316253428718893,-0.233636966725739,0.072513173112313,-0.100018630309928,-0.00889018405452656,0.00549321709630492,-0.0464331311902655,-0.244002978974314,0.0249904681603886
48.885,0.0032652834633636,0.11220843639932,-0.00625963436227498,-0.0309873068752967,-0.236156075816986,0.0726058304313951,-0.101240300330266,-0.00748269964383679,0.00547113986256403,-0.0445463905219977,-0.248189217007386,0.0255148077189577
48.89,0.00128705803782628,0.111110858443909,-0.00647449861530279,-0.0302364103104007,-0.238800005515094,0.0727074345671758,-0.102043737408895,-0.00636558975497355,0.00540554534825334,-0.042160138866365,-0.252740586353251,0.0260535613762633
48.895,-0.000489912964493144,0.110266120392009,-0.0066839012169798,-0.0293848289055393,-0.241569972163338,0.0728204841656812,-0.102575797558458,-0.00543115647002031,0.00529577487792118,-0.0394348337921569,-0.257591277267466,0.0266112914825246
48.9,-0.0021001014129896,0.109678561204956,-0.00688870607554845,-0.0284418545580779,-0.244454112708869,0.072949127204542,-0.102947889664252,-0.00452984679223685,0.00513969591509996,-0.0365344898534964,-0.262674126227586,0.0271911437531098
48.905,-0.00361933461860609,0.109287123323112,-0.0070870940195022,-0.027415886873881,-0.24743896739692,0.0730875552280611,-0.103215877724208,-0.00350392576230263,0.00493495414320664,-0.0335883955498187,-0.267924452384429,0.0277770948619578
48.91,-0.00513869273354149,0.108985685305972,-0.00727570203492464,-0.0263001034139673,-0.250496082757975,0.0732239109289886,-0.103390475556493,-0.00219352485022172,0.00467724760256143,-0.0306702360029932,-0.273279435773368,0.0283557290655877
48.915,-0.0067748378441195,0.10865613407368,-0.00744971220735966,-0.0250950677066715,-0.253595712562777,0.0733429657124956,-0.103518679171954,-0.000476794268472565,0.00436384874248028,-0.0278298514102075,-0.278699666412623,0.0289146265626225
48.92,-0.00866144107766285,0.108193411006605,-0.00760456494447521,-0.0238111014904961,-0.256698332147394,0.073427561956397,-0.103714409661529,0.00168813197840634,0.00399583497765875,-0.0250953960101896,-0.284153454681585,0.0294479667166955
48.925,-0.0109527411965944,0.107540484601131,-0.00773756452620486,-0.0224890158689546,-0.259770037077774,0.0734750032511545,-0.104180719131404,0.00423013211001468,0.0035817091049167,-0.0225031815279968,-0.289633107683047,0.0299527773295239
48.93,-0.0138164315470663,0.106676173936939,-0.00784648556720366,-0.0211992399330503,-0.262781952272357,0.073480750343856,-0.105127879837097,0.00696426943368049,0.00313596612102223,-0.0200694254909313,-0.295133259142599,0.0304395317085075
48.935,-0.0174193540923934,0.105628076963876,-0.00792975836986695,-0.0200505426952366,-0.265732231555321,0.0734499949576184,-0.106696591037349,0.00960061287289616,0.00267945105858776,-0.0177778935945422,-0.300652340856492,0.0309144339512802
48.94,-0.0218541011114789,0.104436627299611,-0.00798708255428706,-0.0191278423827743,-0.268606112874466,0.0733782440341445,-0.108866296128612,0.0118192125506886,0.00223335736333974,-0.0155598198688681,-0.306189653700258,0.0313941560620126
48.945,-0.0271220110990299,0.103177514245802,-0.00802029280508744,-0.0185029086497896,-0.271419138879052,0.073274373949091,-0.111401014862803,0.0133275173974765,0.00181499204303336,-0.0132676968652699,-0.311717123413906,0.0318899732038796
48.95,-0.0330543948817024,0.101902148731451,-0.0080333428986578,-0.0181510749509656,-0.274163509803734,0.0731303476438805,-0.113900500780488,0.0139417367377337,0.00143403918961116,-0.0107190312644405,-0.317199113495154,0.0324063151186794
48.955,-0.0393160335386787,0.10065329605315,-0.00803382219651351,-0.0179587574620164,-0.276840010956962,0.0729468617149171,-0.115883624558866,0.0136520422649865,0.00108830467378594,-0.00773748236414137,-0.322595662154911,0.0329520612846922
