time,hip_angle_l,hip_angle_l_velocity,hip_angle_l_velocity_filt,knee_angle_l,knee_angle_l_velocity,knee_angle_l_velocity_filt,hip_angle_r,hip_angle_r_velocity,hip_angle_r_velocity_filt,knee_angle_r,knee_angle_r_velocity,knee_angle_r_velocity_filt,thigh_imu_l_accel_x,thigh_imu_l_accel_y,thigh_imu_l_accel_z,thigh_imu_l_gyro_x,thigh_imu_l_gyro_y,thigh_imu_l_gyro_z,shank_imu_l_accel_x,shank_imu_l_accel_y,shank_imu_l_accel_z,shank_imu_l_gyro_x,shank_imu_l_gyro_y,shank_imu_l_gyro_z,foot_imu_l_accel_x,foot_imu_l_accel_y,foot_imu_l_accel_z,foot_imu_l_gyro_x,foot_imu_l_gyro_y,foot_imu_l_gyro_z,thigh_imu_r_accel_x,thigh_imu_r_accel_y,thigh_imu_r_accel_z,thigh_imu_r_gyro_x,thigh_imu_r_gyro_y,thigh_imu_r_gyro_z,shank_imu_r_accel_x,shank_imu_r_accel_y,shank_imu_r_accel_z,shank_imu_r_gyro_x,shank_imu_r_gyro_y,shank_imu_r_gyro_z,foot_imu_r_accel_x,foot_imu_r_accel_y,foot_imu_r_accel_z,foot_imu_r_gyro_x,foot_imu_r_gyro_y,foot_imu_r_gyro_z,insole_l_force_y,insole_l_cop_x,insole_l_cop_z,insole_r_force_y,insole_r_cop_x,insole_r_cop_z
38.895,3.40720303308357,0.836771674359687,-0.387524105816609,-2.3503337679116,-1.51431977652952,-2.56306980194213,1.6241180272405,-0.211632342278126,-1.31343916710772,-4.66813373166745,0.434460833464944,0.358291595109392,0.261843811028261,9.65280794492243,-1.77610421267364,-1.0614746121535,-1.84848493498885,1.95603693419126,-0.297288113952952,9.66432504324754,-1.8041351970645,-0.984777921828732,-1.89045392581329,0.572103519963297,-0.928480950920512,9.76970867360049,0.480894983648093,2.21774217104698,0.269636807382627,0.658066388608864,0.525487189961707,9.67374380421896,1.55217753913655,0.234782813923224,-3.12966407588665,1.98850781949981,-0.336791149591636,9.6786608701644,1.58231614823398,0.488711564287832,-3.10017217915797,2.39854622393969,-0.919914773745804,9.76762355165766,-0.0785516872185813,3.23013489081821,-0.584997593209268,1.10789705769038,423.430017460071,0.106117263382413,-0.0228621343979349,430.363946823193,0.0951734716553463,0.00144353521962515
38.9,3.41279146672735,1.11768672875647,-0.166410865480967,-2.35660161407081,-1.25356923184226,-2.37998049493998,1.62422038263378,0.0204710786549453,-1.07253162979783,-4.66620568257498,0.385609818493999,0.42875029907024,0.259387320037461,9.65720320050152,-1.78318093174805,-1.04137952601913,-1.63540521793348,1.79513155393774,-0.300727541251739,9.66860927632369,-1.81153798387045,-0.97325422648853,-1.67683607570098,0.672792464523104,-0.927064989645604,9.7727538568913,0.476827483159283,2.05224954161754,0.34269686205769,0.668335839209682,0.543294223032476,9.68130320170004,1.54334422665699,0.218509950799359,-2.96849971581821,1.95704109229842,-0.314998530999331,9.68724871443033,1.57741233238003,0.459277961193471,-2.94088168135101,2.31001078828776,-0.919201875658291,9.77291026390604,-0.0809470417928261,3.14899447884109,-0.484816254594754,1.02514480785886,423.387833799892,0.106010737712314,-0.0228382774746962,431.025293295799,0.0949483610785444,0.00145777976295047
38.905,3.41974314638339,1.39033593120708,0.078390450787632,-2.36155725887109,-0.991128960056845,-2.17203343419549,1.62545148161937,0.246219797118171,-0.830348142201106,-4.6646040713847,0.320322238054885,0.470143371504041,0.254899242439477,9.66110692316559,-1.78991140342372,-1.02076627376009,-1.3987883451969,1.6356673541891,-0.302346029883286,9.67221217329195,-1.81882893298855,-0.962262801212416,-1.43965528329375,0.774347284774802,-0.925616901168988,9.77527300672788,0.473091257707834,1.8512588395871,0.414795285709841,0.669997364071004,0.559729967224672,9.68826486486394,1.53622070129022,0.200421463559549,-2.78344540959048,1.93103210495334,-0.296166235119051,9.69518345771628,1.57359201500443,0.426118263472613,-2.75792382207732,2.21245300273329,-0.918605035550191,9.77780944269236,-0.082818881430363,3.04882900000509,-0.376022664060173,0.926474567393427,423.247376321676,0.105901272197098,-0.0228045664556502,431.57471099407,0.0947438668636167,0.00147716066789272
38.91,3.42798734556678,1.64883983667882,0.340503189059087,-2.3652149003392,-0.73152829362173,-1.94385715078262,1.62777727292976,0.465158262078381,-0.588675732829255,-4.66339151259279,0.242511758383522,0.484403729841967,0.248642596374601,9.66440088248877,-1.7962118544587,-0.999523307345146,-1.13997975200323,1.4807817698559,-0.302205456801137,9.67503517349559,-1.82586055899833,-0.951626212351622,-1.18025231808729,0.875547551873288,-0.924169066429069,9.7771968984669,0.469759634346046,1.61437201595114,0.484002690950408,0.663698311126959,0.574770241558256,9.6944721496564,1.53070196688515,0.180878716550756,-2.57553702601052,1.90855097816469,-0.280449298645015,9.7023063081925,1.5707690636989,0.389678512127517,-2.55230147777113,2.10795231264708,-0.918135969566213,9.78221199067621,-0.0841739836443316,2.93064431346047,-0.258797308205158,0.813082926608838,423.028039742017,0.105793570948444,-0.0227591168447794,432.015387423168,0.0945770332771998,0.001502119992002
38.915,3.43742666601734,1.88786409011278,0.613321592621832,-2.36760966932073,-0.478953796307046,-1.70026647510086,1.63116306775975,0.677158965996991,-0.349159961508844,-4.66261009590637,0.156283337283467,0.473948552440847,0.24091931221418,9.66698747184441,-1.80201055105543,-0.977585568773024,-0.860745486275616,1.33330135895583,-0.300393171000511,9.67700325052476,-1.83249171761909,-0.941192602653677,-0.900390364421652,0.975245009780618,-0.922753438535064,9.77847440902684,0.466887459843517,1.34198812917565,0.548545322397828,0.650289583971212,0.588409804061424,9.69979551949919,1.52665564772988,0.160228915854054,-2.34588443793707,1.88756850782555,-0.267929484837886,9.70848646074285,1.56883463768975,0.35039396525039,-2.32509288174626,1.99863118228022,-0.91780468599428,9.78602636213879,-0.0850202094474076,2.79530012949842,-0.133454452462245,0.686432646932119,422.749184353006,0.105693240086224,-0.0227049547517253,432.348940225764,0.0944620582703419,0.00153089441975585
38.92,3.44794023014509,2.10271282554827,0.890196981208474,-2.3687955129526,-0.237168726373905,-1.44614363262452,1.63557502843076,0.88239213420284,-0.113234315250868,-4.66228091950012,0.0658352812503811,0.441639217290908,0.232061787969756,9.66879185859311,-1.80724947410464,-0.954937333378921,-0.563268483148598,1.195692076157,-0.297017327502921,9.67806647016794,-1.83859190885589,-0.930839565457639,-0.602251406659109,1.07238695811026,-0.921401269353079,9.7790733009462,0.464509701842068,1.03536966534945,0.606872800065324,0.630786989151376,0.600657404060917,9.70413476391266,1.5239278984028,0.138803666913938,-2.09561684996666,1.8660136741644,-0.258614916761119,9.71362296870941,1.5676620823084,0.308683471128403,-2.07739717952182,1.88661218196829,-0.917619302184013,9.78917952106474,-0.0853666880666106,2.64341886615107,-0.000467073293439853,0.548196262085835,422.426834229418,0.105600259491086,-0.0226421181942476,432.574910879993,0.0944115540033708,0.00156014243733971
38.925,3.4593872433024,2.28940263146388,1.16461150727046,-2.36884274966576,-0.00944734263184947,-1.18632286289696,1.64098144236625,1.08128278709936,0.117931701589462,-4.66240413774812,-0.0246436496002869,0.390727324116744,0.222424297390238,9.66976347500546,-1.81188523007111,-0.931613134180159,-0.250137923007297,1.07002119035321,-0.29220189547236,9.67820086497354,-1.84404529847495,-0.920476537106701,-0.288425610945105,1.16603574632402,-0.92014275140941,9.77898048912922,0.462641227640295,0.696682032071985,0.657712025299156,0.606326905017821,0.611530912299564,9.7074203170266,1.52234953199208,0.116917900414816,-1.82583517194333,1.84183458528612,-0.252441952731728,9.71764574285023,1.56711235868449,0.264944945492606,-1.8102869533362,1.77397506612869,-0.917585953459584,9.79161746696099,-0.0852246184621453,2.47531607084701,0.139516380818947,0.400195534122378,422.070526249703,0.105518449942996,-0.0225749923135523,432.690893104878,0.0944302497432528,0.00158498777190097
38.93,3.47161083519181,2.44471837788067,1.43033595424172,-2.36783537682766,0.201474567621481,-0.925481317392031,1.64735373853884,1.27445923451625,0.343464949626992,-4.6629595330951,-0.111079069396368,0.324787921995057,0.212374331533945,9.66987681195538,-1.81588924475658,-0.907696506087062,0.075670524923418,0.957931254643933,-0.286081516467406,9.67740858829282,-1.84875426521424,-0.910045470142247,0.0381085032274484,1.25538363988275,-0.91900651968444,9.77820187401322,0.461277626962607,0.329000583771755,0.700104434162682,0.578118410303083,0.621052758978638,9.70961365950266,1.5217421916655,0.0948689325391811,-1.53757442169782,1.81306067945088,-0.249279187232169,9.72051567952286,1.56703976176935,0.219551926380835,-1.52477071720197,1.66271475759516,-0.917708751883248,9.79330543344437,-0.0846084598145897,2.29095821959633,0.285665524604799,0.244339688806408,421.681211790412,0.105450037048131,-0.0225102975446418,432.694044937736,0.094516288659098,0.00160596993382622
38.935,3.48444209501837,2.5662519653115,1.68156912970118,-2.36586821672072,0.393432021387573,-0.668038793051629,1.65466722273064,1.46269683835887,0.562801850784503,-4.66390760591991,-0.189614564961796,0.247641537590024,0.202283935315673,9.66913149297402,-1.81924732030761,-0.883316457537366,0.410825203958504,0.860626283414536,-0.278796408443563,9.67571732846626,-1.85264229555215,-0.899519690175334,0.374014732585127,1.33976255159367,-0.91801898291871,9.77676179570488,0.460396893496265,-0.0637179915359105,0.73342517373715,0.54739444361312,0.629245891698472,9.71070682477026,1.52192439409673,0.0729354934233535,-1.23177833420114,1.77786395181159,-0.248933385608021,9.72222395208396,1.56729767030867,0.172851178396853,-1.22176757477382,1.55470118179799,-0.917989768302257,9.79422783111911,-0.0835372646060496,2.08995116847071,0.436972867252008,0.0825655715291418,421.251179880121,0.105399203548236,-0.0224543762402982,432.585799132351,0.0946643406028911,0.00162270036092815
38.94,3.49770421837157,2.65242467064192,1.91305738285508,-2.36304398858509,0.56484562712649,-0.418068598106022,1.6629015248315,1.64686042017447,0.775683769640396,-4.66519116028106,-0.25671087222966,0.163267026085692,0.192521114318317,9.66755162796091,-1.82195865232796,-0.858641747459036,0.75168074931982,0.77887002130566,-0.270487515580406,9.67317898953574,-1.85565607388008,-0.888900984525993,0.71564172611934,1.41864838736533,-0.917203489870021,9.77470212126728,0.459961778591893,-0.476700599413579,0.757384234075755,0.515364667280389,0.636130430767193,9.71072107124423,1.52271728066784,0.0513766261963456,-0.909287532222206,1.73461699695724,-0.251157100100711,9.72279053343484,1.56774408445164,0.125161319751945,-0.902095406727572,1.45164188498267,-0.918429033081298,9.79438796024383,-0.0820359346944074,1.87156003469794,0.592269790050182,-0.0832172853886037,420.767006061415,0.105368358099755,-0.0224149185002589,432.376314993429,0.0948659225336677,0.0016348088549778
38.945,3.51121668523753,2.70249337318957,2.12019357427874,-2.35947039378165,0.714718960686234,-0.179221527455203,1.6720407652744,1.82784808857787,0.982136769267935,-4.66673734797194,-0.309237538177262,0.0757076321492814,0.183441420573453,9.66518447282098,-1.82403441250579,-0.833873203664263,1.09433256183877,0.712995902027471,-0.261292092274522,9.66986767639739,-1.85776665284198,-0.878215108003085,1.0590777892696,1.49166001236703,-0.916579377673827,9.77208094207471,0.459922659872785,-0.904457402276055,0.772010884294664,0.483172461475226,0.641721146800979,9.7097048175083,1.52394992564089,0.0304304202532236,-0.570841835804848,1.68194577447636,-0.255657669172119,9.72226204583682,1.56824673251487,0.0767724459478859,-0.566473173086604,1.3550483237421,-0.919024565177396,9.79380747641145,-0.0801362322098384,1.63475909096384,0.750252499299822,-0.251174193055073,420.213740488534,0.105358022910106,-0.0223948850730094,432.089698408684,0.0951113188653387,0.00164762236505567
38.95,3.52479938842087,2.71654063666696,2.29909541642467,-2.35525729772663,0.842619211004804,0.0453354496679141,1.68207345821348,2.0065385878158,1.18243850157751,-4.66846011897727,-0.344554201064719,-0.0110270633517873,0.175379871664221,9.66209845212621,-1.82549600524898,-0.809234454947603,1.43468322786191,0.662927996532292,-0.251339883181683,9.6658770580192,-1.85896963483907,-0.867506009564352,1.40021768800159,1.55855308553584,-0.916160987803347,9.76897084220328,0.460220806457311,-1.34091275279534,0.777623780508901,0.451857935351785,0.646025826728338,9.70773096157405,1.52546406677628,0.0103125930603175,-0.217096565602835,1.61877520488861,-0.262107273718669,9.72070905326703,1.56868756296864,0.0279467195803579,-0.21553719061107,1.26620664071513,-0.919772443858337,9.79252556299096,-0.0778774344117855,1.37830848186436,0.909515990145032,-0.419583695811995,419.580082439815,0.105364443643689,-0.0223960101720184,431.764151733382,0.0953923579622211,0.00166171139277527
38.955,3.53827663080957,2.69544847774355,2.44666349002513,-2.35051408617184,0.948642310957545,0.252964610468434,1.69299217625674,2.18374360865406,1.3770753054378,-4.67026301368453,-0.360578941452489,-0.0930604367114498,0.16864340479676,9.65838063101721,-1.82637310652412,-0.784961554216741,1.76851992488246,0.628211944391787,-0.240750024487616,9.66131721603795,-1.8592843508005,-0.856829173396318,1.73484046879704,1.61920922718843,-0.915956760830457,9.76545670361894,0.460791948663847,-1.77956246299134,0.774789762341875,0.422328100060102,0.649044542114591,9.70489371666585,1.52711813711068,-0.00878502889702437,0.151347979872689,1.54436596903934,-0.270153707599398,9.71822291927448,1.56896647504641,-0.0210801190630199,0.150129431929732,1.18615365384579,-0.920666938780462,9.7905977465515,-0.0753065759315982,1.1008532539022,1.06859355564806,-0.586865977634481,418.862108520183,0.105382593551665,-0.0224131455462029,431.448495648736,0.0956986599197074,0.00167734088167393
38.96,3.55148090947681,2.64085573344602,2.56061945591524,-2.3453472647742,1.03336427952865,0.441586291980151,1.70479300597999,2.36016594464807,1.56669265770058,-4.67204222139972,-0.3558415430378,-0.166746380967877,0.163504093727215,9.65413374382121,-1.82670159650515,-0.761292037429411,2.09160111922325,0.608054560545035,-0.229628751539149,9.65631111051723,-1.85875208340374,-0.846244522739393,2.05869657614317,1.67362117194304,-0.915968526863402,9.76163304251523,0.461570056583956,-2.2136514111905,0.764274641857316,0.395334519430734,0.650769786912658,9.70130509582083,1.52879049109947,-0.0266960593338343,0.53390533707707,1.45834119907458,-0.279431510947918,9.71491235170819,1.56900417893783,-0.0700963953234937,0.529955662839133,1.11565868461304,-0.921700713752241,9.78809429266654,-0.0724782603845271,0.801039304601954,1.22599918465022,-0.75160137488066,418.064290313428,0.10540353389475,-0.0224418767005186,431.195218933747,0.0960251957672136,0.00169505491368094
38.965,3.56425640567794,2.55509924022495,2.63952507492037,-2.33985835992769,1.09778096930106,0.609690873818856,1.71747482573042,2.53636395008575,1.75204198925295,-4.67368982114846,-0.329519949747779,-0.228762160438966,0.160193347036436,9.64947289693744,-1.82652150689749,-0.738453995080432,2.399750131608,0.601370540202247,-0.218067953224942,9.65099080503495,-1.85743344350684,-0.835809356184678,2.36760181920601,1.72187471730751,-0.91619108995024,9.75760092648709,0.462491190098219,-2.63636470745764,0.74698930047186,0.371458004509848,0.651187405090672,9.69709116820507,1.53038173892509,-0.0432810534901152,0.929952076278733,1.36070210878165,-0.289573114366973,9.71089974666544,1.56874411182698,-0.118911414570031,0.923331815072399,1.05521173366521,-0.922865113274501,9.78509814784432,-0.0694540361665751,0.477640280975277,1.38027025849721,-0.912539921152179,417.198898266152,0.105422858961203,-0.0224748738879312,431.05044926659,0.09636503262394,0.00171287800279751
38.97,3.57646210297304,2.44113945902278,2.68278267848305,-2.33414216592403,1.14323880073372,0.756334215516275,1.73103843782323,2.71272241856309,1.93392658939767,-4.67509711470535,-0.281458711378846,-0.276193692811754,0.158897266106685,9.6445220640206,-1.82587511140911,-0.716655733799628,2.68895245653842,0.606834483182758,-0.20614456474832,9.64549359072297,-1.85540506381206,-0.825571778299307,2.65753505151147,1.7641284015372,-0.916612167028001,9.75346459564277,0.463497215664202,-3.04102497255636,0.723934281383829,0.351099429839888,0.650278191012875,9.69238819521086,1.53181612927367,-0.0584288814754816,1.33877009750071,1.25183200526455,-0.300219652705332,9.70631743044035,1.56815336755588,-0.167351812532298,1.3295519209957,1.00501838258619,-0.924150525477744,9.78170244635808,-0.0663013259692332,0.129689025081383,1.53000816516485,-1.06860343499367,416.283047620636,0.105437327964528,-0.0225055824330922,431.045930284097,0.096714688573543,0.00172659957584154
38.975,3.58797446103941,2.30247161327248,2.69061775151781,-2.3282853692892,1.17135932696553,0.881117341715134,1.74548558639231,2.88942971381599,2.11314892841317,-4.67615795846562,-0.212168752052724,-0.306610592058366,0.159753288005264,9.6394104873281,-1.82480527842529,-0.696076574615053,2.9554531732775,0.622936349757358,-0.193920744018398,9.63995813921028,-1.85275581588464,-0.815565050982277,2.9247358825059,1.80059191783539,-0.917212694954038,9.74932797787272,0.464539135044521,-3.42128771995353,0.696145899610468,0.334475623297011,0.648020029246858,9.68733874022701,1.53304195123398,-0.072057893141212,1.75948527208971,1.13248852900898,-0.311031129712615,9.70130388700193,1.56722263022123,-0.215257550084823,1.74775245967768,0.965001659259117,-0.925546795065263,9.77800766283456,-0.0630918991474958,-0.243393184271222,1.67391470145142,-1.21888189690157,415.337464507322,0.105448897409718,-0.0225335453962452,431.193844394616,0.097073220690596,0.00173642356665971
