time,insole_l_force_x,insole_l_force_y,insole_l_force_z,insole_l_cop_x,insole_l_cop_z,insole_r_force_x,insole_r_force_y,insole_r_force_z,insole_r_cop_x,insole_r_cop_z
40.63,-7.11513722276166,566.347588484041,277.317112733926,0.0997084906470245,-0.0399378370426351,0.222363834419326,482.483388983211,-206.077511442066,0.104691074709029,0.0137080507340066
40.635,-5.92158304371601,562.616505992168,272.813435696569,0.0990520031688114,-0.0397135692164217,-1.90009039554889,477.323596857681,-200.026862184124,0.105344290228524,0.013312020728288
40.64,-5.03112390075663,558.293221068404,267.883360848407,0.0985080849276154,-0.0394756483897938,-4.14906348516796,471.764255027686,-193.56985957517,0.106097246643615,0.0129049589438939
40.645,-4.59539241985478,553.106204007065,262.498937454378,0.098099733841734,-0.0392332224232319,-6.42909596421917,465.631215383322,-186.753023330655,0.106946155200017,0.0124958593152633
40.65,-4.71785026289167,546.82028412897,256.616245702806,0.097840717922975,-0.0389880983381885,-8.642465516756,458.815510765945,-179.660213272533,0.107885540737648,0.0120920716725323
40.655,-5.42789191003191,539.293942932151,250.18097575041,0.0977272824902284,-0.038738343711578,-10.7222795346772,451.281929406706,-172.403485579872,0.108918896354788,0.0116963088160573
40.66,-6.66708880257319,530.51273763271,243.136363649772,0.0977462640958655,-0.0384773335656816,-12.6545552705196,443.047248696687,-165.104810592126,0.110061190549024,0.0113130690615346
40.665,-8.29429516361492,520.589554972935,235.433027504141,0.0978733952197026,-0.0381900158804596,-14.4813290471943,434.138504880965,-157.873011107194,0.111344690708032,0.0109444899591198
40.67,-10.1102198769926,509.732334481685,227.03967518585,0.0980772259180873,-0.0378606823241197,-16.2840435764494,424.554287814979,-150.783647131088,0.112808446236347,0.0105965866756819
40.675,-11.8963287423458,498.190388093489,217.953741153241,0.098322921014502,-0.0374710043279844,-18.1523658779081,414.245348820206,-143.867748163992,0.11449769214639,0.0102723143031711
40.68,-13.4575525704715,486.193390743116,208.209997323853,0.0985833735462593,-0.0370083138593922,-20.1488172736857,403.129436767453,-137.113878084274,0.116448892551471,0.00997730089837878
40.685,-14.6579763030359,473.899333507757,197.885869799515,0.0988357247771026,-0.0364682594100987,-22.2801358583358,391.133717767262,-130.480981765697,0.118678363244239,0.00970951932569042
40.69,-15.4406900484413,461.364092027832,187.102361604577,0.0990758551652875,-0.0358556142823363,-24.4847790090382,378.250589809596,-123.917355480013,0.121179123552782,0.009464558230043
40.695,-15.8272410291249,448.539787936816,176.02003720032,0.0993117128587033,-0.035186723763649,-26.6406270671563,364.585074436642,-117.37984327045,0.123914431468192,0.00923170527935735
40.7,-15.8983330764688,435.303175184694,164.830773563057,0.0995652773389657,-0.034488206811069,-28.5915048697965,350.375935206209,-110.848683140644,0.126823695526542,0.00899561802539495
40.705,-15.7628442863832,421.505826705569,153.745423364945,0.0998684429725132,-0.0337919801572422,-30.1859857515904,335.984412965243,-104.335433266794,0.12982467932968,0.0087363130862621
40.71,-15.5257601511658,407.030361697621,142.977880753223,0.10025894468576,-0.0331321364790345,-31.3179472189981,321.850053584132,-97.882762996364,0.132833240701998,0.00843631366050923
40.715,-15.2660056677043,391.841009493448,132.729190210948,0.100773044297186,-0.0325445403775426,-31.9577312415753,308.424098156142,-91.5563617386621,0.135767034110858,0.00807921950584056
40.72,-15.0305737754915,376.019073593231,123.176031278303,0.101446655644072,-0.0320626660039114,-32.1653243599164,296.095407577414,-85.4319766310004,0.138566937654748,0.00765334283644625
40.725,-14.8439596518302,359.774209712838,114.465204317086,0.102311406633628,-0.0317135201863508,-32.0817331993299,285.128948296691,-79.5820133745155,0.14120581327297,0.00715599358983887
40.73,-14.7255532614009,343.426961994678,106.712471456089,0.10339206357383,-0.0315202260178722,-31.9013545928328,275.633074820291,-74.0657719792312,0.143693969450269,0.00659173353947562
40.735,-14.7036574322196,327.360249002442,100.000873547161,0.104704758240585,-0.0314985065016469,-31.8321474106271,267.560669094867,-68.9247182897571,0.14607397838535,0.00597349701987682
40.74,-14.8173924334985,311.94834229341,94.3752623119737,0.106252493609735,-0.0316547354320771,-32.0534872117435,260.741956354682,-64.1817778636281,0.14840412843253,0.00531831670681626
